ID,Country,Data,Value,Mesh,FlagMaterial,lon,lat,x,y,z
215,Peru,Metal ores,20606988,metal_ores_mesh,peru_flag,-77.042793,-12.046374,1402.03997467,-6093.66301444,-1334.38010986
216,Philippines,Metal ores,59651345,metal_ores_mesh,phillipines_flag,120.984222,14.599512,-3185.19677464,5304.36579551,1611.59558076
217,Poland,Metal ores,14687508,metal_ores_mesh,poland_flag,21.017532,52.237049,3654.96526299,1404.29304758,5054.52324799
222,Russian Federation,Metal ores,71574001,metal_ores_mesh,russia_flag,37.618423,55.751244,2850.1693006,2196.38616502,5285.02015831
224,Saudi Arabia,Metal ores,3570052,metal_ores_mesh,saudi_arabia_flag,46.738586,24.774265,3978.48955626,4227.57112504,2679.23095964
227,Singapore,Metal ores,5186171,metal_ores_mesh,singapore_flag,103.851959,1.29027,-1530.34621648,6206.15246745,143.969823608
230,South Korea,Metal ores,51184266,metal_ores_mesh,south_korea_flag,127.024612,37.5326,-3053.0760934,4047.94982143,3895.10512216
232,Sri Lanka,Metal ores,73621,metal_ores_mesh,sri_lanka_flag,79.861244,6.927079,1117.27889173,6247.88641902,771.115085293
235,Syria,Metal ores,397479,metal_ores_mesh,syria_flag,36.278336,33.510414,4297.55574475,3154.36747701,3529.87191587
237,Thailand,Metal ores,6725387,metal_ores_mesh,thailand_flag,100.523186,13.736717,-1134.29823377,6106.33392082,1518.24532471
241,Turkey,Metal ores,26909977,metal_ores_mesh,turkey_flag,28.97953,41.015137,4220.2243546,2337.33792364,4195.89956138
243,Ukraine,Metal ores,67514902,metal_ores_mesh,ukraine_flag,30.5238,50.45466,3506.64161736,2067.53227616,4930.29311057
245,United Kingdom,Metal ores,22065733,metal_ores_mesh,united_kingdom_flag,-0.118092,51.509865,3979.28308097,-8.20168897287,5004.42346285
27,United States,Metal ores,69994676,metal_ores_mesh,united_states_flag,-77.009003,38.889931,1118.71492482,-4849.1628984,4014.11402472
248,Venezuela,Metal ores,3263388,metal_ores_mesh,venezuela_flag,-66.916664,10.5,2464.7874866,-5783.27368942,1165.15380134
252,Zimbabwe,Metal ores,508474,metal_ores_mesh,zimbabwe_flag,31.053028,-17.824858,5214.46160254,3139.73670279,-1957.15582786
261,Algeria,Military,2.65724645433101,military_mesh,algeria_flag.algeria_flag,3.082667,36.726017,5117.13794186,275.581743556,3823.34530068
5,Argentina,Military,0.535168296599659,military_mesh,argentina_flag,-58.381592,-34.603722,2758.98199877,-4481.4344713,-3630.94735731
10,Australia,Military,0.453618490368651,military_mesh,australia_flag,149.082977,-35.343784,-4474.26097049,2679.5957585,-3698.61739581
281,Bangladesh,Military,0.337926740908486,military_mesh,bangladesh_flag,90.393791,23.728783,-40.2281058736,5853.01439524,2572.86212033
15,Brazil,Military,0.706783662114818,military_mesh,brazil_flag,-46.62529,-23.533773,4025.74120502,-4260.86770709,-2552.92566177
314,Canada,Military,0.338745057458689,military_mesh,canada_flag,-75.692482,-75.692482,390.469980554,-1531.03539196,-6195.35948307
